No;SI_card;Wd;Punch;
1;232809;Va;08:12:30;
2;1396218;Va;11:05:31;
3;1396132;Va;11:07:45;
4;2009107;Va;11:08:03;
5;45162;Va;11:09:49;
6;2009130;Va;11:09:53;
7;2009114;Va;11:11:21;
8;2054139;Va;11:12:39;
9;222911;Va;11:13:09;
10;2009131;Va;11:13:15;
11;339823;Va;11:14:41;
12;2056188;Va;11:16:29;
13;2009120;Va;11:16:31;
14;2009108;Va;11:17:48;
15;2009116;Va;11:19:54;
16;2009127;Va;11:23:39;
17;972;Va;11:23:42;
18;1401007;Va;11:25:23;
19;1396299;Va;11:27:44;
20;2009113;Va;11:27:52;
21;505246;Va;11:30:01;
22;505275;Va;11:30:25;
23;1396268;Va;11:32:25;
24;1396118;Va;11:32:36;
25;1396266;Va;11:32:47;
26;2009124;Va;11:33:12;
27;2009128;Va;11:34:11;
28;222918;Va;11:34:19;
29;307577;Va;11:34:22;
30;1396202;Va;11:35:10;
31;2009111;Va;11:35:17;
32;2066473;Va;11:35:35;
33;1396169;Va;11:35:49;
34;2009102;Va;11:36:43;
35;45991;Va;11:38:12;
36;2082343;Va;11:38:34;
37;7897273;Va;11:38:40;
38;1396233;Va;11:38:56;
39;2009132;Va;11:39:05;
40;222913;Va;11:41:06;
41;1401001;Va;11:42:17;
42;2009110;Va;11:42:28;
43;1401009;Va;11:44:58;
44;1401002;Va;11:45:17;
45;1401004;Va;11:45:20;
46;1396209;Va;11:46:17;
47;7201392;Va;11:50:01;
48;1396117;Va;11:50:33;
49;233597;Va;11:51:02;
50;2056185;Va;11:51:08;
51;1396262;Va;11:51:26;
52;1396250;Va;11:51:53;
53;2009109;Va;11:53:36;
54;1396191;Va;11:53:39;
55;505277;Va;11:53:41;
56;505266;Va;11:53:42;
57;1396167;Va;11:53:56;
58;2082342;Va;11:54:00;
59;222916;Va;11:54:02;
60;1396204;Va;11:54:31;
61;2072288;Va;11:55:42;
62;1396292;Va;11:56:46;
63;222909;Va;11:56:49;
64;332742;Va;11:56:55;
65;505206;Va;11:57:20;
66;2025050;Va;11:57:46;
67;2025048;Va;11:57:47;
68;1396207;Va;11:57:49;
69;1396256;Va;11:58:05;
70;45986;Va;11:58:10;
71;1396109;Va;11:59:22;
72;45378;Va;11:59:51;
73;222907;Va;11:59:53;
74;505256;Va;12:02:37;
75;363401;Va;12:03:08;
76;1396206;Va;12:04:39;
77;7003172;Va;12:06:56;
78;233645;Va;12:07:41;
79;869;Va;12:08:06;
80;2082331;Va;12:08:12;
81;2072267;Va;12:08:41;
82;2009125;Va;12:09:17;
83;9700420;Va;12:09:22;
84;505276;Va;12:09:31;
85;1396183;Va;12:16:03;
86;307600;Va;12:16:07;
87;1396214;Va;12:16:31;
88;363465;Va;12:16:43;
89;45383;Va;12:17:47;
90;1396203;Va;12:18:11;
91;1396210;Va;12:19:40;
92;339877;Va;12:21:17;
93;332825;Va;12:26:55;
94;888338;Va;12:27:01;
95;1396218;Va;12:28:40;
96;1396129;Va;12:34:16;
97;45160;Va;12:56:01;
