No;SI_card;Wd;Punch;
1;2009127;Va;10:14:15;
2;233597;Va;10:46:24;
3;1396218;Va;11:06:26;
4;1396132;Va;11:08:23;
5;2009107;Va;11:08:42;
6;45162;Va;11:10:32;
7;2009130;Va;11:10:42;
8;2009114;Va;11:12:00;
9;2054139;Va;11:13:12;
10;2009131;Va;11:15:08;
11;222911;Va;11:15:11;
12;339823;Va;11:15:41;
13;2056188;Va;11:17:05;
14;2009120;Va;11:17:07;
15;2009108;Va;11:18:32;
16;2009116;Va;11:20:23;
17;2009127;Va;11:24:04;
18;972;Va;11:24:18;
19;1401007;Va;11:26:21;
20;1396299;Va;11:28:12;
21;2009113;Va;11:29:14;
22;505246;Va;11:30:53;
23;505275;Va;11:31:05;
24;1396268;Va;11:33:01;
25;1396118;Va;11:33:15;
26;1396266;Va;11:33:26;
27;2009124;Va;11:34:31;
28;2009128;Va;11:34:42;
29;222918;Va;11:35:04;
30;307577;Va;11:35:07;
31;2009111;Va;11:35:53;
32;1396202;Va;11:35:59;
33;2066473;Va;11:36:26;
34;1396169;Va;11:36:28;
35;2009102;Va;11:37:17;
36;45991;Va;11:38:52;
37;2082343;Va;11:39:09;
38;7897273;Va;11:39:18;
39;1396233;Va;11:39:26;
40;2009132;Va;11:39:53;
41;222913;Va;11:41:59;
42;1401001;Va;11:42:45;
43;2009110;Va;11:43:10;
44;1401009;Va;11:46:24;
45;1401004;Va;11:46:46;
46;1401002;Va;11:46:48;
47;1396209;Va;11:46:55;
48;7201392;Va;11:50:31;
49;233597;Va;11:51:33;
50;2056185;Va;11:51:42;
51;1396117;Va;11:52:10;
52;1396262;Va;11:52:19;
53;1396250;Va;11:52:47;
54;2009109;Va;11:54:23;
55;505266;Va;11:54:24;
56;505277;Va;11:54:26;
57;2082342;Va;11:54:52;
58;222916;Va;11:54:58;
59;1396191;Va;11:55:08;
60;1396204;Va;11:55:36;
61;1396167;Va;11:55:41;
62;2072288;Va;11:56:31;
63;1396292;Va;11:57:50;
64;505206;Va;11:57:59;
65;222909;Va;11:58:14;
66;2025050;Va;11:58:15;
67;332742;Va;11:58:18;
68;2025048;Va;11:58:20;
69;1396207;Va;11:58:25;
70;45986;Va;11:58:54;
71;1396256;Va;11:58:59;
72;1396109;Va;12:00:09;
73;45378;Va;12:01:10;
74;222907;Va;12:01:12;
75;505256;Va;12:03:19;
76;502917;Va;12:03:50;
77;363401;Va;12:05:12;
78;1396206;Va;12:05:15;
79;332826;Va;12:05:32;
80;7003172;Va;12:07:40;
81;233645;Va;12:08:21;
82;869;Va;12:08:47;
83;2082331;Va;12:09:11;
84;2072267;Va;12:09:40;
85;2009125;Va;12:09:48;
86;9700420;Va;12:10:01;
87;505276;Va;12:10:09;
88;1396183;Va;12:16:31;
89;307600;Va;12:16:37;
90;1396214;Va;12:17:01;
91;363465;Va;12:17:35;
92;45383;Va;12:18:45;
93;1396203;Va;12:19:22;
94;1396210;Va;12:20:27;
95;339877;Va;12:21:55;
96;888338;Va;12:27:47;
97;332825;Va;12:27:50;
98;1396218;Va;12:29:17;
99;1396129;Va;12:34:53;
100;45160;Va;12:56:41;
101;1401005;Va;13:05:44;
